Time,Strain,Stress,Temperature,Specimen_ID,Operator,Machine
0,0.00000,150,650,CP-001,DRIVERA,MTS-CREEP-9000
1,0.00012,150,650,CP-001,DRIVERA,MTS-CREEP-9000
2,0.00021,150,650,CP-001,DRIVERA,MTS-CREEP-9000
3,0.00028,150,650,CP-001,DRIVERA,MTS-CREEP-9000
4,0.00034,150,650,CP-001,DRIVERA,MTS-CREEP-9000
5,0.00039,150,650,CP-001,DRIVERA,MTS-CREEP-9000
10,0.00055,150,650,CP-001,DRIVERA,MTS-CREEP-9000
20,0.00078,150,650,CP-001,DRIVERA,MTS-CREEP-9000
30,0.00095,150,650,CP-001,DRIVERA,MTS-CREEP-9000
40,0.00110,150,650,CP-001,DRIVERA,MTS-CREEP-9000
50,0.00122,150,650,CP-001,DRIVERA,MTS-CREEP-9000
60,0.00133,150,650,CP-001,DRIVERA,MTS-CREEP-9000
70,0.00142,150,650,CP-001,DRIVERA,MTS-CREEP-9000
80,0.00150,150,650,CP-001,DRIVERA,MTS-CREEP-9000
90,0.00157,150,650,CP-001,DRIVERA,MTS-CREEP-9000
100,0.00163,150,650,CP-001,DRIVERA,MTS-CREEP-9000
120,0.00175,150,650,CP-001,DRIVERA,MTS-CREEP-9000
140,0.00188,150,650,CP-001,DRIVERA,MTS-CREEP-9000
160,0.00205,150,650,CP-001,DRIVERA,MTS-CREEP-9000
180,0.00230,150,650,CP-001,DRIVERA,MTS-CREEP-9000
200,0.00265,150,650,CP-001,DRIVERA,MTS-CREEP-9000
220,0.00310,150,650,CP-001,DRIVERA,MTS-CREEP-9000
240,0.00370,150,650,CP-001,DRIVERA,MTS-CREEP-9000
260,0.00450,150,650,CP-001,DRIVERA,MTS-CREEP-9000
280,0.00560,150,650,CP-001,DRIVERA,MTS-CREEP-9000
300,0.00720,150,650,CP-001,DRIVERA,MTS-CREEP-9000
320,0.00950,150,650,CP-001,DRIVERA,MTS-CREEP-9000
340,0.01280,150,650,CP-001,DRIVERA,MTS-CREEP-9000
360,0.01750,150,650,CP-001,DRIVERA,MTS-CREEP-9000
380,0.02400,150,650,CP-001,DRIVERA,MTS-CREEP-9000
400,0.03250,150,650,CP-001,DRIVERA,MTS-CREEP-9000
420,0.04400,150,650,CP-001,DRIVERA,MTS-CREEP-9000
440,0.06000,150,650,CP-001,DRIVERA,MTS-CREEP-9000
460,0.08200,150,650,CP-001,DRIVERA,MTS-CREEP-9000
480,0.11500,150,650,CP-001,DRIVERA,MTS-CREEP-9000
500,0.16000,150,650,CP-001,DRIVERA,MTS-CREEP-9000
520,0.22000,150,650,CP-001,DRIVERA,MTS-CREEP-9000
540,0.30000,150,650,CP-001,DRIVERA,MTS-CREEP-9000
560,0.41000,150,650,CP-001,DRIVERA,MTS-CREEP-9000
580,0.56000,150,650,CP-001,DRIVERA,MTS-CREEP-9000
600,0.75000,150,650,CP-001,DRIVERA,MTS-CREEP-9000
620,1.00000,150,650,CP-001,DRIVERA,MTS-CREEP-9000
640,1.35000,150,650,CP-001,DRIVERA,MTS-CREEP-9000
660,1.85000,150,650,CP-001,DRIVERA,MTS-CREEP-9000
680,2.60000,150,650,CP-001,DRIVERA,MTS-CREEP-9000
700,3.80000,150,650,CP-001,DRIVERA,MTS-CREEP-9000
720,5.60000,150,650,CP-001,DRIVERA,MTS-CREEP-9000
740,8.20000,150,650,CP-001,DRIVERA,MTS-CREEP-9000
760,12.00000,150,650,CP-001,DRIVERA,MTS-CREEP-9000
780,17.50000,150,650,CP-001,DRIVERA,MTS-CREEP-9000
800,25.00000,150,650,CP-001,DRIVERA,MTS-CREEP-9000
